Country;name;Regions;alpha-3;continent;WACC_agg
Angola;AF-AGO;AF-Central;AGO;AF;0.12144545567226112
Burundi;AF-BDI;AF-Central;BDI;AF;0.27000740442744214
Benin;AF-BEN;AF-WestCoast;BEN;AF;0.27000740442744214
Burkina Faso;AF-BFA;AF-WestCoast;BFA;AF;0.12086174011656607
Botswana;AF-BWA;AF-South;BWA;AF;0.06311375564743316
Central African Republic;AF-CAF;AF-EastSahara;CAF;AF;0.27000740442744214
Côte d'Ivoire;AF-CIV;AF-WestCoast;CIV;AF;0.09749004572380443
Cameroon;AF-CMR;AF-WestCoast;CMR;AF;0.11957756589403695
Congo, Democratic Republic of the;AF-COD;AF-Central;COD;AF;0.13271908759917564
Congo;AF-COG;AF-Central;COG;AF;0.16445788746936996
Djibouti;AF-DJI;AF-EastSahara;DJI;AF;0.2731133530549634
Algeria;AF-DZA;AF-MoroccoAlgeria;DZA;AF;0.1337889586099642
Egypt;AF-EGY;AF-EGY;EGY;AF;0.13471184234585615
Eritrea;AF-ERI;AF-EastSahara;ERI;AF;0.27000740442744214
Ethiopia;AF-ETH;AF-EastSahara;ETH;AF;0.1078369615225664
Gabon;AF-GAB;AF-Central;GAB;AF;0.13271908759917564
Ghana;AF-GHA;AF-WestCoast;GHA;AF;0.13404759076362932
Guinea;AF-GIN;AF-WestCoast;GIN;AF;0.16547481943963224
Gambia;AF-GMB;AF-WestCoast;GMB;AF;0.16478274545583144
Guinea-Bissau;AF-GNB;AF-WestCoast;GNB;AF;0.13405467735807605
Equatorial Guinea;AF-GNQ;AF-Central;GNQ;AF;0.26690145579992086
Kenya;AF-KEN;AF-Central;KEN;AF;0.1078369615225664
Liberia;AF-LBR;AF-WestCoast;LBR;AF;0.2031544429514985
Libya;AF-LBY;AF-TunesiaLibya;LBY;AF;0.14806224296055276
Lesotho;AF-LSO;AF-South;LSO;AF;0.2731133530549634
Morocco;AF-MAR;AF-MoroccoAlgeria;MAR;AF;0.08254430647463755
Madagascar;AF-MDG;AF-Central;MDG;AF;0.12257999559101246
Mali;AF-MLI;AF-WestSahara;MLI;AF;0.14508503747683943
Mozambique;AF-MOZ;AF-Central;MOZ;AF;0.17533865427942705
Mauritania;AF-MRT;AF-WestSahara;MRT;AF;0.2731133530549634
Malawi;AF-MWI;AF-Central;MWI;AF;0.14508503747683943
Namibia;AF-NAM;AF-South;NAM;AF;0.0826811494650774
Niger;AF-NER;AF-WestSahara;NER;AF;0.20094266227240476
Nigeria;AF-NGA;AF-WestCoast;NGA;AF;0.12027802456087103
Rwanda;AF-RWA;AF-Central;RWA;AF;0.12074499700542704
Sudan;AF-SDN;AF-EastSahara;SDN;AF;0.26690145579992086
Senegal;AF-SEN;AF-WestCoast;SEN;AF;0.09662879662319286
Sierra Leone;AF-SLE;AF-WestCoast;SLE;AF;0.2031544429514985
Somalia;AF-SOM;AF-EastSahara;SOM;AF;0.20233166053887564
Eswatini;AF-SWZ;AF-South;SWZ;AF;0.12144545567226112
Chad;AF-TCD;AF-EastSahara;TCD;AF;0.26690145579992086
Togo;AF-TGO;AF-WestCoast;TGO;AF;0.14597819912195342
Tunisia;AF-TUN;AF-TunesiaLibya;TUN;AF;0.11085603869754591
Tanzania, United Republic of;AF-TZA;AF-Central;TZA;AF;0.13272608361751692
Uganda;AF-UGA;AF-Central;UGA;AF;0.12027802456087103
South Africa;AF-ZAF;AF-South;ZAF;AF;0.07963793822885591
Zambia;AF-ZMB;AF-Central;ZMB;AF;0.13271908759917564
Zimbabwe;AF-ZWE;AF-Central;ZWE;AF;0.16557170979736438
Afghanistan;AS-AFG;AS-SouthStans;AFG;AS;0.27621930168248476
United Arab Emirates;AS-ARE;AS-Arabia;ARE;AS;0.05959340692285098
Bangladesh;AS-BGD;AS-SouthEast;BGD;AS;0.09705942117349865
Bahrain;AS-BHR;AS-Arabia;BHR;AS;0.11387511587252543
Brunei Darussalam;AS-BRN;AS-SouthEast;BRN;AS;0.0634127781802343
Bhutan;AS-BTN;AS-SouthEast;BTN;AS;0.2731133530549634
China;AS-CHN;AS-CHN;CHN;AS;0.061046033432550405
Indonesia;AS-IDN;AS-SouthIslands;IDN;AS;0.08027426689500933
India;AS-IND;AS-IND;IND;AS;0.07555744661237061
Iran, Islamic Republic of;AS-IRN;AS-IRN;IRN;AS;0.07612379039520678
Iraq;AS-IRQ;AS-West;IRQ;AS;0.14951244134230687
Israel;AS-ISR;AS-West;ISR;AS;0.06120421188708905
Jordan;AS-JOR;AS-West;JOR;AS;0.1098496796392194
Japan;AS-JPN;AS-KoreaJapan;JPN;AS;0.06067115049529383
Kazakhstan;AS-KAZ;AS-NorthStans;KAZ;AS;0.08052879836147069
Kyrgyzstan;AS-KGZ;AS-NorthStans;KGZ;AS;0.12494774900643137
Cambodia;AS-KHM;AS-SouthEast;KHM;AS;0.12261288678365119
Korea, Republic of;AS-KOR;AS-KoreaJapan;KOR;AS;0.05833340037851985
Kuwait;AS-KWT;AS-West;KWT;AS;0.05915892190756438
Lao People's Democratic Republic;AS-LAO;AS-SouthEast;LAO;AS;0.27621930168248476
Lebanon;AS-LBN;AS-West;LBN;AS;0.1361731958267552
Sri Lanka;AS-LKA;AS-SouthEast;LKA;AS;0.1078369615225664
Myanmar;AS-MMR;AS-SouthEast;MMR;AS;0.13485183360241149
Mongolia;AS-MNG;AS-MNG;MNG;AS;0.14653619310642665
Malaysia;AS-MYS;AS-SouthIslands;MYS;AS;0.06738538592656702
Nepal;AS-NPL;AS-SouthEast;NPL;AS;0.2731133530549634
Oman;AS-OMN;AS-Arabia;OMN;AS;0.07732277375269302
Pakistan;AS-PAK;AS-SouthStans;PAK;AS;0.1329847882320664
Philippines;AS-PHL;AS-SouthIslands;PHL;AS;0.07614588899247808
Qatar;AS-QAT;AS-Arabia;QAT;AS;0.06093562532126454
Russian Federation;AS-RUS;AS-RUS;RUS;AS;0.08432326535035581
Saudi Arabia;AS-SAU;AS-SAU;SAU;AS;0.061441479568897006
Singapore;AS-SGP;AS-SouthIslands;SGP;AS;0.0526420956349477
Syrian Arab Republic;AS-SYR;AS-West;SYR;AS;0.2731133530549634
Thailand;AS-THA;AS-SouthEast;THA;AS;0.07282488053555239
Tajikistan;AS-TJK;AS-NorthStans;TJK;AS;0.13590749519386447
Turkmenistan;AS-TKM;AS-SouthStans;TKM;AS;0.2836735783885358
Türkiye;AS-TUR;AS-West;TUR;AS;0.08363905039815649
Taiwan, Province of China;AS-TWN;AS-TWN;TWN;AS;0.060176657239268634
Uzbekistan;AS-UZB;AS-NorthStans;UZB;AS;0.27932525031000605
Viet Nam;AS-VNM;AS-SouthEast;VNM;AS;0.1098496796392194
Yemen;AS-YEM;AS-Arabia;YEM;AS;0.27621930168248476
Albania;EU-ALB;EU-SouthEast;ALB;EU;0.11085603869754591
Armenia;EU-ARM;AS-West;ARM;EU;0.11025222326255002
Austria;EU-AUT;EU-Central;AUT;EU;0.057324363481429726
Azerbaijan;EU-AZE;AS-West;AZE;EU;0.09076236084664573
Belgium;EU-BEL;EU-Benelux;BEL;EU;0.05979717319827068
Bulgaria;EU-BGR;EU-SouthEast;BGR;EU;0.0779112161328005
Bosnia and Herzegovina;EU-BIH;EU-East;BIH;EU;0.13803310025699034
Belarus;EU-BLR;EU-East;BLR;EU;0.14653619310642665
Switzerland;EU-CHE;EU-Central;CHE;EU;0.05249475572215799
Czechia;EU-CZE;EU-East;CZE;EU;0.06136239034162769
Germany;EU-DEU;EU-DEU;DEU;EU;0.051912170319863046
Denmark;EU-DNK;EU-North;DNK;EU;0.05235983526561876
Spain;EU-ESP;EU-Iberia;ESP;EU;0.07614588899247808
Estonia;EU-EST;EU-East;EST;EU;0.061441479568897006
Finland;EU-FIN;EU-East;FIN;EU;0.05753202873186384
France;EU-FRA;EU-FRA;FRA;EU;0.058374676454972074
United Kingdom of Great Britain and Northern Ireland;EU-GBR;EU-GBR;GBR;EU;0.05843478021542006
Georgia;EU-GEO;AS-West;GEO;EU;0.09152783737516541
Greece;EU-GRC;EU-SouthEast;GRC;EU;0.16653443676615887
Croatia;EU-HRV;EU-Central;HRV;EU;0.0910685514580536
Hungary;EU-HUN;EU-Central;HUN;EU;0.08192872142700816
Ireland;EU-IRL;EU-IslandIreland;IRL;EU;0.06390921673363703
Iceland;EU-ISL;EU-IslandIreland;ISL;EU;0.06767053989442091
Italy;EU-ITA;EU-Central;ITA;EU;0.07581518437485768
Lithuania;EU-LTU;EU-East;LTU;EU;0.0682408478301287
Luxembourg;EU-LUX;EU-Benelux;LUX;EU;0.05219386616845334
Latvia;EU-LVA;EU-East;LVA;EU;0.0677655912170389
Moldova, Republic of;EU-MDA;EU-East;MDA;EU;0.13750169899120887
North Macedonia;EU-MKD;EU-SouthEast;MKD;EU;0.10007379302563911
Netherlands, Kingdom of the;EU-NLD;EU-Benelux;NLD;EU;0.05214531738492876
Norway;EU-NOR;EU-North;NOR;EU;0.05235983526561876
Poland;EU-POL;EU-East;POL;EU;0.06336495388518176
Portugal;EU-PRT;EU-Iberia;PRT;EU;0.08274957096029735
Romania;EU-ROU;EU-East;ROU;EU;0.0810378612943934
Serbia;EU-SRB;EU-East;SRB;EU;0.09921254392502755
Slovakia;EU-SVK;EU-Central;SVK;EU;0.06319748839334935
Slovenia;EU-SVN;EU-Central;SVN;EU;0.07260923853775864
Sweden;EU-SWE;EU-North;SWE;EU;0.05243886816903086
Ukraine;EU-UKR;EU-East;UKR;EU;0.16791880296401807
Canada;NA-CAN;NA-CanadaUSA;CAN;NA;0.05212612367981439
Costa Rica;NA-CRI;NA-CentralAmerica;CRI;NA;0.08923140778960632
Cuba;NA-CUB;NA-CentralAmerica;CUB;NA;0.1620352466231163
Dominican Republic;NA-DOM;NA-CentralAmerica;DOM;NA;0.0971455460835598
Guatemala;NA-GTM;NA-CentralAmerica;GTM;NA;0.08363905039815649
Honduras;NA-HND;NA-CentralAmerica;HND;NA;0.1078369615225664
Haiti;NA-HTI;NA-CentralAmerica;HTI;NA;0.14508503747683943
Jamaica;NA-JAM;NA-CentralAmerica;JAM;NA;0.13404759076362932
Mexico;NA-MEX;NA-CentralAmerica;MEX;NA;0.06681507799085926
Nicaragua;NA-NIC;NA-CentralAmerica;NIC;NA;0.12027802456087103
Panama;NA-PAN;NA-CentralAmerica;PAN;NA;0.07614588899247808
El Salvador;NA-SLV;NA-CentralAmerica;SLV;NA;0.14504806898848654
Trinidad and Tobago;NA-TTO;SA-NorthEast;TTO;NA;0.08295483544595714
United States of America;NA-USA;NA-CanadaUSA;USA;NA;0.052154914237485944
Australia;OC-AUS;OC-AustraliaNewzealand;AUS;OC;0.05190821867469245
New Zealand;OC-NZL;OC-AustraliaNewzealand;NZL;OC;0.05202112282242402
Argentina;SA-ARG;SA-ArgentinaBolivia;ARG;SA;0.11911059344948094
Bolivia, Plurinational State of;SA-BOL;SA-ArgentinaBolivia;BOL;SA;0.09749004572380443
Brazil;SA-BRA;SA-NorthEast;BRA;SA;0.08861902656679056
Chile;SA-CHL;SA-ChilePeru;CHL;SA;0.05964537958187149
Colombia;SA-COL;SA-NorthWest;COL;SA;0.07496900423226315
Ecuador;SA-ECU;SA-NorthWest;ECU;SA;0.13404759076362932
Guyana;SA-GUY;SA-NorthEast;GUY;SA;0.09747966821626453
Peru;SA-PER;SA-ChilePeru;PER;SA;0.06686260365216824
Paraguay;SA-PRY;SA-NorthEast;PRY;SA;0.08569169525475447
Suriname;SA-SUR;SA-NorthEast;SUR;SA;0.1066293306525746
Uruguay;SA-URY;SA-NorthEast;URY;SA;0.07614588899247808
Venezuela, Bolivarian Republic of;SA-VEN;SA-NorthWest;VEN;SA;0.17458262279910286
